"","minute","activity"
"1",1,0
"2",2,121.5
"3",3,5
"4",4,97.5
"5",5,0
"6",6,0
"7",7,134.857142857143
"8",8,0.714285714285714
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,228.8
"14",14,0
"15",15,342.5
"16",16,0
"17",17,0
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,303.25
"30",30,0
"31",31,18.5714285714286
"32",32,0
"33",33,0
"34",34,2.25
"35",35,0.5
"36",36,117.5
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,202.75
"44",44,0
"45",45,0
"46",46,0.333333333333333
"47",47,140
"48",48,0
"49",49,0
"50",50,133.714285714286
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,178
"58",58,0
"59",59,0
"60",60,0
